dataset_key,city,n,model,scale_estimator,days_evaluated,days_rse_gt_10pct,fraction_days_rse_gt_10pct
lucknow_lcs,Lucknow,29,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,29,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,29,lognormal,standard,365,3,0.00821917808219178
lucknow_lcs,Lucknow,29,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,30,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,30,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,30,lognormal,standard,365,2,0.005479452054794521
lucknow_lcs,Lucknow,30,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,31,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,31,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,31,lognormal,standard,365,1,0.0027397260273972603
lucknow_lcs,Lucknow,31,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,32,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,32,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,32,lognormal,standard,365,1,0.0027397260273972603
lucknow_lcs,Lucknow,32,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,33,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,33,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,33,lognormal,standard,365,1,0.0027397260273972603
lucknow_lcs,Lucknow,33,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,34,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,34,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,34,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,34,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,35,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,35,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,35,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,35,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,36,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,36,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,36,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,36,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,37,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,37,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,37,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,37,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,38,normal,standard,365,9,0.024657534246575342
lucknow_lcs,Lucknow,38,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,38,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,38,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,39,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,39,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,39,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,39,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,40,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,40,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,40,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,40,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,41,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,41,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,41,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,41,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,42,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,42,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,42,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,42,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,43,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,43,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,43,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,43,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,44,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,44,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,44,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,44,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,45,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,45,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,45,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,45,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,46,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,46,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,46,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,46,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,47,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,47,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,47,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,47,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,48,normal,standard,365,8,0.021917808219178082
lucknow_lcs,Lucknow,48,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,48,lognormal,standard,365,0,0.0
lucknow_lcs,Lucknow,48,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,49,normal,standard,365,8,0.021917808219178082
