dataset_key,city,sensor_id,station_name,period_mean_pm25_ugm3,arithmetic_period_mean_pm25_ugm3,reference_mean_pm25_ugm3,mean_minus_reference_ugm3,ci_basis,daily_means_observed,daily_presence_pct,lag1_autocorrelation,ar1_effective_n,gls_effective_n,sd_pm25_ugm3,bonferroni_z,ci_low_ugm3,ci_high_ugm3,ci_excludes_reference,longest_missing_gap_days,long_gap_gt_30d,rank_by_period_mean
chicago_lcs_corrected_no_collocation,Chicago,DIFIV9884,Dunning 3,10.570688583313553,10.609963235294117,10.253490712654873,0.31719787065867955,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5721785002426509,74.01668952732703,74.97916735271549,5.789585222329303,3.7448446730995455,8.066823329898128,13.074553836728978,False,1.0,False,191.0
chicago_lcs_corrected_no_collocation,Chicago,DIFPQ7419,Avondale 2,8.884812386459943,8.92014705882353,10.253490712654873,-1.3686783261949298,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5448647447851286,80.13438706290343,81.08732922331373,4.447564362725032,3.7448446730995455,7.0352049941612265,10.73441977875866,False,1.0,False,18.0
chicago_lcs_corrected_no_collocation,Chicago,DIHMX0551,Humboldt Park 3,10.96674294646288,11.019044117647057,10.253490712654873,0.7132522338080065,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5708389997669034,74.31174810449961,75.27379630859107,5.787648175869068,3.7448446730995455,8.468618771299578,13.464867121626181,False,1.0,False,226.0
chicago_lcs_corrected_no_collocation,Chicago,DIIPF3878,Edgewater 2,9.353962540555939,9.388529411764708,10.253490712654873,-0.8995281720989343,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5194721078114755,86.01907596943884,86.96157035957211,5.150820524240045,3.7448446730995455,7.2855053375221175,11.42241974358976,False,1.0,False,38.0
chicago_lcs_corrected_no_collocation,Chicago,DIQKT3554,Lincoln Park 1,9.961868004895402,10.005735294117647,10.253490712654873,-0.29162270775947086,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5570787857355403,77.37217370347942,78.3295858326144,4.651190798183983,3.7448446730995455,7.993822893550699,11.929913116240106,False,1.0,False,105.0
chicago_lcs_corrected_no_collocation,Chicago,DIRJX6254,Greater Grand Crossing 2,10.316244916640033,10.35125,10.253490712654873,0.0627542039851594,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5380100095091822,81.70380988196827,82.65408973273074,5.273741809690417,3.7448446730995455,8.143941430430171,12.488548402849894,False,1.0,False,150.0
chicago_lcs_corrected_no_collocation,Chicago,DITUM6528,Near West Side 1,10.21687152938076,10.255330882352942,10.253490712654873,-0.03661918327411229,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5457499090519781,79.93273945177843,80.88601720785388,5.071345436820427,3.7448446730995455,8.105229599881094,12.328513458880428,False,1.0,False,140.0
chicago_lcs_corrected_no_collocation,Chicago,DITUY8368,West Ridge 5,10.077199208386945,10.110845588235293,10.253490712654873,-0.17629150426792783,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5456398294260868,79.95780390959078,80.91104003163063,5.072971321398293,3.7448446730995455,7.965206938538299,12.189191478235593,False,1.0,False,123.0
chicago_lcs_corrected_no_collocation,Chicago,DIUDG6358,North Lawndale 5,12.03842046024004,12.082757352941178,10.253490712654873,1.784929747585167,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5343620410348418,82.54474592782698,83.49356233738236,5.706602647036453,3.7448446730995455,9.699664286586597,14.377176633893484,False,1.0,False,271.0
chicago_lcs_corrected_no_collocation,Chicago,DIUZJ7853,Garfield Ridge 2,9.915563393471936,9.930603773584904,10.253490712654873,-0.3379273191829366,daily_sensor_means_gap_aware_ar1_gls,265,97.06959706959707,0.5608882972545549,74.55024259725474,76.20825763850421,4.942838752893616,3.7448446730995455,7.795205185575907,12.035921601367967,False,7.0,False,96.0
