sample_size,canonical_reference_mean_ugm3,madhwal_reference_mean_ugm3,madhwal_minus_canonical_reference_mean_ugm3,canonical_ape_median_pct,madhwal_ape_median_pct,madhwal_minus_canonical_ape_median_pct,canonical_ape_p95_pct,madhwal_ape_p95_pct,madhwal_minus_canonical_ape_p95_pct,canonical_absolute_error_median_ugm3,madhwal_absolute_error_median_ugm3,madhwal_minus_canonical_absolute_error_median_ugm3,canonical_absolute_error_p95_ugm3,madhwal_absolute_error_p95_ugm3,madhwal_minus_canonical_absolute_error_p95_ugm3,canonical_n_sensors_available,madhwal_n_sensors_available
46,61.802242631595966,51.46794024618637,-10.334302385409593,1.6201530716227197,0.7469954635868055,-0.8731576080359142,4.726054238320381,2.123090854893009,-2.6029633834273715,1.001290932327528,0.3844631788405799,-0.6168277534869482,2.9208075072675865,1.0927111325685814,-1.828096374699005,71,71
47,61.802242631595966,51.46794024618637,-10.334302385409593,1.5675513955765474,0.7051499688281908,-0.8624014267483566,4.548329166701159,2.008964833631154,-2.5393643330700053,0.9687819168691868,0.362926164602495,-0.6058557522666919,2.8109694272882977,1.0339728201401797,-1.776996607148118,71,71
48,61.802242631595966,51.46794024618637,-10.334302385409593,1.5631821876597003,0.6819181357119942,-0.8812640519477061,4.3599739300861025,2.0094826233579774,-2.350491306728125,0.966081648391338,0.3509692186161572,-0.6151124297751809,2.694561666946143,1.0342393158473822,-1.6603223510987608,71,71
49,61.802242631595966,51.46794024618637,-10.334302385409593,1.4921113000204325,0.6769997871005773,-0.8151115129198552,4.231863991205104,1.8828959873741251,-2.3489680038309793,0.9221582459720884,0.3484378458917341,-0.5737204000803543,2.6153868516837195,0.9690877816795556,-1.646299070004164,71,71
50,61.802242631595966,51.46794024618637,-10.334302385409593,1.4671615525709296,0.6551694337380709,-0.8119921188328587,4.095236548894586,1.846314253165637,-2.2489222957289488,0.9067387425173764,0.337202212667588,-0.5695365298497884,2.5309480282856285,0.950259916576112,-1.5806881117095166,71,71
51,61.802242631595966,51.46794024618637,-10.334302385409593,1.4136471072096946,0.630309048623994,-0.7833380585857006,4.040589586369045,1.7903295338542442,-2.2502600525148004,0.873665615152273,0.324407084512103,-0.54925853064017,2.497174979914797,0.9214457346939294,-1.5757292452208675,71,71
52,61.802242631595966,51.46794024618637,-10.334302385409593,1.3662145345010974,0.5967323698058317,-0.7694821646952658,3.8942610714134016,1.7042598762406262,-2.1900011951727754,0.8443512214804976,0.3071258595213173,-0.5372253619591802,2.406740676062699,0.8771474547432554,-1.5295932213194434,71,71
53,61.802242631595966,51.46794024618637,-10.334302385409593,1.3333432053612206,0.5795018657673194,-0.7538413395939012,3.795448012819624,1.6482474786394,-2.1472005341802243,0.8240360028892404,0.2982576739986591,-0.5257783288905813,2.3456719898388716,0.8483190274153998,-1.4973529624234718,71,71
54,61.802242631595966,51.46794024618637,-10.334302385409593,1.262488079221022,0.5635202576601785,-0.6989678215608435,3.5374709346680904,1.6027088124193452,-1.9347621222487452,0.7802459459151514,0.2900322694876962,-0.49021367642745517,2.1862363700657585,0.8248812138963518,-1.3613551561694068,71,71
55,61.802242631595966,51.46794024618637,-10.334302385409593,1.2097256822673954,0.5318840121842491,-0.6778416700831463,3.4881536721189823,1.559007699441037,-1.9291459726779454,0.7476376013316255,0.273749745570008,-0.4738878557616175,2.155757195805898,0.8023891511817577,-1.3533680446241405,71,71
