network,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,m5_seed
dhaka_lcs,S0_baseline,7,4.917385206057078,0.8849315068493151,365,1395032829
dhaka_lcs,S0_baseline,10,3.943145421771966,0.9698630136986301,365,1395032829
dhaka_lcs,S0_baseline,15,2.8655718815978988,0.989041095890411,365,1395032829
dhaka_lcs,S0_baseline,20,2.094492174644482,0.9971014492753624,345,1395032829
dhaka_lcs,S0_baseline,30,0.9632697686386504,1.0,320,1395032829
dhaka_lcs,S1_daily_18h,1,10.163041915859631,0.0684931506849315,365,2474605494
dhaka_lcs,S1_daily_18h,2,8.600081525260658,0.1643835616438356,365,2474605494
dhaka_lcs,S1_daily_18h,3,7.474171921816668,0.3863013698630137,365,2474605494
dhaka_lcs,S1_daily_18h,5,6.014168855275834,0.7397260273972602,365,2474605494
dhaka_lcs,S1_daily_18h,7,4.862647570386191,0.9178082191780822,365,2474605494
dhaka_lcs,S1_daily_18h,10,3.9009927805681057,0.978021978021978,364,2474605494
dhaka_lcs,S1_daily_18h,15,2.8289112312933296,1.0,345,2474605494
dhaka_lcs,S1_daily_18h,20,2.1694514144733854,1.0,342,2474605494
dhaka_lcs,S1_daily_18h,30,0.9891374715473866,1.0,242,2474605494
dhaka_lcs,S2_daily_12h,1,10.163041915859631,0.03561643835616438,365,1063561337
dhaka_lcs,S2_daily_12h,2,8.62201032865687,0.12054794520547946,365,1063561337
dhaka_lcs,S2_daily_12h,3,7.420193239356008,0.3452054794520548,365,1063561337
dhaka_lcs,S2_daily_12h,5,5.9732159392825555,0.736986301369863,365,1063561337
dhaka_lcs,S2_daily_12h,7,4.938163559958362,0.9095890410958904,365,1063561337
dhaka_lcs,S2_daily_12h,10,3.9457107643134712,0.9835616438356164,365,1063561337
dhaka_lcs,S2_daily_12h,15,2.9049320319419234,0.9972451790633609,363,1063561337
dhaka_lcs,S2_daily_12h,20,2.117373936491961,1.0,344,1063561337
dhaka_lcs,S2_daily_12h,30,0.9879649452629609,1.0,301,1063561337
dhaka_lcs,S3_annual_75pct,1,9.84627710894531,0.06575342465753424,365,967242606
dhaka_lcs,S3_annual_75pct,2,7.795733789283698,0.1863013698630137,365,967242606
dhaka_lcs,S3_annual_75pct,3,6.958597418410697,0.4191780821917808,365,967242606
dhaka_lcs,S3_annual_75pct,5,5.671539428022296,0.7616438356164383,365,967242606
dhaka_lcs,S3_annual_75pct,7,4.747190367848422,0.9178082191780822,365,967242606
dhaka_lcs,S3_annual_75pct,10,3.777018663608958,0.9808219178082191,365,967242606
