Sensor_ID,Latitude,Longitude,Station_Name,value_pm25_ug_m3,network,panel,start_date,end_date,n_dates_available_for_network
DNBEB5545,41.9286974,-87.73569501673,Hermosa 1,5.08,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DNBKU3560,41.78978595,-87.66959778168,West Englewood 1,5.41,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DNCCJ5144,41.962849,-87.78047373604,Portage Park 1,5.27,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DNEXF4696,41.85340285,-87.7191346,North Lawndale 4,6.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DNFCT5518,41.70134325,-87.63695104339,Roseland 6,7.34,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DNUKL3524,41.89463405,-87.65461125156,West Town 3,6.45,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DNVBM2851,41.764561,-87.65314835,Englewood 5,5.28,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPBXQ5234,41.9761239,-87.7082665047,North Park 2,5.55,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPCUT7707,41.88090137336,-87.61873552601,Loop 2,6.16,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPDDG5192,41.9358392,-87.79903217638,Montclare 1,5.79,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPMHQ8304,41.9758539,-87.67189334395,Uptown 1,6.13,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPMWW4120,41.7872597,-87.78189702338,Garfield Ridge 3,5.4,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPNPJ6846,41.81485945,-87.6515630055,New City 2,6.04,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPPCP3370,41.66388775,-87.62119153511,West Pullman 4,5.2,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPQLM7176,41.9486371,-87.67224304234,Lake View 1,5.52,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPQMK5751,41.9413011,-87.71842453477,Avondale 1,5.61,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DPWHE0976,41.81472425,-87.63492704557,Fuller Park 1,5.39,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQABT4506,41.66370695,-87.60544860892,Riverdale 2,5.5,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQAJZ3770,41.92201145,-87.67250156058,Logan Square 2,6.0,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQGPJ5322,41.70266025,-87.69255586271,Beverly 5,5.53,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQIUL8061,41.7641265,-87.5857492,South Shore 1,5.78,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQJDZ1252,41.67590428555,-87.65402778762,West Pullman 1,5.62,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQJVA6225,41.9889689,-87.76288502645,Jefferson Park 1,5.41,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQRVM2041,41.76433305,-87.67013475649,West Englewood 3,4.77,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQTUI1287,41.6496509,-87.55276648075,Hegewisch 4,5.18,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQUUS8611,41.8948325,-87.67276417878,West Town 4,7.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQVFE3070,41.7643842,-87.63615245585,Englewood 4,6.05,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQVGW1846,41.8403843,-87.71981834947,South Lawndale 3,7.13,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQWCU6663,41.865808,-87.77006790729,Austin 6,4.99,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQXJA8041,41.80260805,-87.72071352115,Archer Heights 3,6.57,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQZEA3135,41.68798065,-87.58826181539,South Deering 8,5.73,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DQZIL1804,41.8150889,-87.68617463895,Brighton Park 2,5.44,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRCQU4244,41.68869904102,-87.63708150084,Roseland 5,6.39,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRCSL7614,41.97629145,-87.7806628029,Jefferson Park 3,6.32,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRDMU5348,41.71400135,-87.63668979965,Washington Heights 3,5.9,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRDZF3698,41.9157582,-87.76919201601,Austin 1,5.63,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRHPF2920,41.68783235,-87.55325261923,South Deering 4,5.43,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRILK5150,41.87824475,-87.71895694228,East Garfield Park 1,5.54,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRJGY6541,41.7903099,-87.73683774404,West Elsdon 1,6.11,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRJPX9457,41.6767009,-87.55354965902,South Deering 5,5.71,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRQFY3540,41.84002135,-87.66866860578,Lower West Side 4,9.86,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DRRDD3500,41.66298535,-87.55350110056,Hegewisch 6,5.27,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
