run_key,city,selection_strategy,selection_strategy_label,time_aggregation,sample_size,row_count,n_outer_draws,n_days,selected_ref_mdape_median_pct,full_ref_mdape_median_pct,mdape_delta_median_pctpt,selected_ref_abs_median_ugm3,full_ref_abs_median_ugm3,abs_delta_median_ugm3,reference_mean_delta_median_ugm3,mdape_delta_p95_pctpt,abs_delta_p95_ugm3
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,13,20,20,0,1.3985356972203586,1.942005713431023,0.3724408359379029,0.14691351858532053,0.20516641269419766,0.04664990739002395,0.25906982251779187,2.5969788123319693,0.2735002707684947
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,14,20,20,0,1.3333403730329223,1.8612725333196982,0.38007900319504817,0.13882844500442149,0.19663722205676581,0.04704598207090527,0.25906982251779187,2.6653280835842246,0.2807618178673818
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,15,20,20,0,1.25958082985087,1.7831824990281198,0.3756253806282912,0.13250672790891338,0.18838727094078056,0.04623047035420447,0.25906982251779187,2.716770668812942,0.28547600744169144
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,16,20,20,0,1.2243052856808405,1.7667343566887075,0.42356028959202174,0.12862880304035684,0.1866495796786376,0.05099703993139659,0.25906982251779187,2.781048323977259,0.2923775469401234
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,17,20,20,0,1.167833006887094,1.7137095737015726,0.42299005028113346,0.12270603158000437,0.18104768858525944,0.05069374739820409,0.25906982251779187,2.8222922341553973,0.2967727020917985
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,18,20,20,0,1.119720190419601,1.7050646967236047,0.4509962254312462,0.11762853379503468,0.18013438622703992,0.05342845817735231,0.25906982251779187,2.870048455749723,0.30250686873290966
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,19,20,20,0,1.0654428693793214,1.6942038188600077,0.48621591088648364,0.11192190564191318,0.17898697078198067,0.056819474372814316,0.25906982251779187,2.9281765428809723,0.30809336437868595
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,20,20,20,0,1.0185290093790522,1.6781989354170777,0.49748613083313054,0.10789378633062618,0.1772961083407094,0.0578817716082165,0.25906982251779187,2.9405214373915185,0.30942494975699203
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,21,20,20,0,0.9812158449208048,1.672254664270961,0.531524806862711,0.10307918674095529,0.17666811596216192,0.06121673662185678,0.25906982251779187,2.9709665544996886,0.3126937920801601
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,22,20,20,0,0.9431383463186805,1.6499565503373477,0.558865707392398,0.09907351098276918,0.174312394753946,0.06390831083614623,0.25906982251779187,3.0228223085369317,0.31876507243514907
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,23,20,20,0,0.9075554821454132,1.6464210416043246,0.559872229826883,0.09534249027229169,0.1739388800733317,0.06384171795863613,0.25906982251779187,3.0368898220972356,0.32027791053067567
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,24,20,20,0,0.8705635361109554,1.6378149566832527,0.5966503372349253,0.09200514151194117,0.17302967596626528,0.06750222858978283,0.25906982251779187,3.1248007766844643,0.32917030486582355
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,25,20,20,0,0.8332211028816564,1.6243356350850164,0.5996046598985902,0.08754646917085118,0.17160563069248713,0.06769102238388625,0.25906982251779187,3.1248840846361174,0.3296181587564562
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,26,20,20,0,0.7990019053375997,1.5985611077819772,0.6683002348281297,0.08393457351705669,0.16888263803130155,0.07477365091876997,0.25906982251779187,3.1560747784844536,0.33292712131426816
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,27,20,20,0,0.7709913329894745,1.601485969077726,0.6669748096179109,0.08101238094331453,0.16919163985118635,0.07447507919792207,0.25906982251779187,3.192077682693881,0.33675281683097313
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,28,20,20,0,0.7349875176625209,1.5803614905841321,0.7124682073403897,0.07767386655910702,0.16695990930446758,0.07915915693226516,0.25906982251779187,3.2285830884223365,0.3406275777015727
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,29,20,20,0,0.7163843883696515,1.5455792504047041,0.7189136448006666,0.075260336911259,0.16328528188513136,0.07960243164536474,0.25906982251779187,3.2553724103023867,0.34348207892307714
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,30,20,20,0,0.6860242225534345,1.5192200775817681,0.7648810009204589,0.07207853037375767,0.16050052337887877,0.08429060420013679,0.25906982251779187,3.2956847466744543,0.34775461763186866
chicago_phase4_strategy_n50,Chicago,equidistant,Spatially balanced,daily,5,12050,50,241,3.8597375573693826,4.109764955483749,0.10726651802698361,0.3604653061224481,0.37643304064427596,0.016199999999999104,0.17830199092902088,1.5699817114263215,0.12346376865671597
chicago_phase4_strategy_n50,Chicago,equidistant,Spatially balanced,daily,10,12050,50,241,2.7494748829883213,3.23494141042361,0.27723704925912696,0.2640408163265313,0.30133335182821996,0.030946712018141254,0.17830199092902088,2.1511805618148068,0.18876460501858716
chicago_phase4_strategy_n50,Chicago,equidistant,Spatially balanced,daily,20,12050,50,241,1.7384092456164861,2.6292736904346077,0.5578940235010095,0.1696125000000004,0.24501756184228496,0.05559413812260816,0.17830199092902088,3.0753782341653344,0.31588327140891465
