dataset_key,city,period_type,sample_size,n_periods,median_period_mdape_pct,max_period_mdape_pct,median_period_absolute_error_ugm3,max_period_absolute_error_ugm3
lucknow_lcs,Lucknow,month,27,12,2.4384013539026466,4.839783764472989,1.1606310410187817,7.175292069738688
lucknow_lcs,Lucknow,month,28,12,2.3518304123170797,4.656797866395541,1.1220262844820716,6.904003655370431
lucknow_lcs,Lucknow,month,29,12,2.2818120021298465,4.536847809837674,1.0881728771429238,6.726169948025429
lucknow_lcs,Lucknow,month,30,12,2.2091881680151126,4.385390089725997,1.0497287902120966,6.50162409413926
lucknow_lcs,Lucknow,season,2,4,10.549491690574936,14.014988516793972,5.898876704537358,14.008529976480844
lucknow_lcs,Lucknow,season,3,4,8.93262153337831,11.581180937773837,4.79194333239991,11.911429248101769
lucknow_lcs,Lucknow,season,4,4,7.777985060042778,9.865887760465306,4.089140590957006,10.366599532736565
lucknow_lcs,Lucknow,season,5,4,6.879350217508075,8.681892453115386,3.6106766478280576,9.14248058460781
lucknow_lcs,Lucknow,season,6,4,6.329836760675372,8.032132678906063,3.32940754012143,8.478781612823802
lucknow_lcs,Lucknow,season,7,4,5.781815335479502,7.370315952678678,3.0502535850328982,7.759856311605908
lucknow_lcs,Lucknow,season,8,4,5.397773841428711,6.878852568552772,2.8460278351382726,7.294482466416952
lucknow_lcs,Lucknow,season,9,4,5.013657253109432,6.425159168440461,2.654870589008908,6.70479410256231
lucknow_lcs,Lucknow,season,10,4,4.735063005047974,6.082351997008034,2.502341905349475,6.3188698119441895
lucknow_lcs,Lucknow,season,11,4,4.4415282641672835,5.734695571010039,2.3635780814923777,6.000005818837785
lucknow_lcs,Lucknow,season,12,4,4.227682582112664,5.4507340193774345,2.255735177994234,5.708051944407416
lucknow_lcs,Lucknow,season,13,4,4.039711940885132,5.256293059256929,2.1664192119879697,5.440719312221944
lucknow_lcs,Lucknow,season,14,4,3.822970512471681,4.9880556453667575,2.057613967068246,5.139373947725225
lucknow_lcs,Lucknow,season,15,4,3.664104727432213,4.7730745099478415,1.9666823113174345,4.932677393671099
lucknow_lcs,Lucknow,season,16,4,3.5014580182119444,4.593595105332572,1.8873599296486425,4.695521607723762
lucknow_lcs,Lucknow,season,17,4,3.3649665297247475,4.389356467519473,1.804238289337901,4.464518351612867
lucknow_lcs,Lucknow,season,18,4,3.2869985295870014,4.247367858977622,1.7531374330228484,4.37152541898908
lucknow_lcs,Lucknow,season,19,4,3.1543584111515486,4.110009137934162,1.6909807999276207,4.20656851083249
lucknow_lcs,Lucknow,season,20,4,3.040071723879352,3.9655854998433635,1.62860456984561,4.0650031763001095
lucknow_lcs,Lucknow,season,21,4,2.9234477182555683,3.772060003107852,1.5533618617987326,3.8642221252213176
lucknow_lcs,Lucknow,season,22,4,2.82960577041005,3.645945763933998,1.502983369004676,3.762422698856753
lucknow_lcs,Lucknow,season,23,4,2.764754969780486,3.564274267576309,1.4664087041618998,3.6927763250122894
lucknow_lcs,Lucknow,season,24,4,2.667003486734414,3.436905716697397,1.4178716784287086,3.578282635978404
lucknow_lcs,Lucknow,season,25,4,2.5564322725835673,3.2958414843692982,1.3599712212725503,3.4455162544638966
lucknow_lcs,Lucknow,season,26,4,2.489883343367964,3.2189128387002643,1.329683877981985,3.335898815773376
lucknow_lcs,Lucknow,season,27,4,2.4112413408733744,3.152642517299344,1.3011096779404188,3.2389001878525505
lucknow_lcs,Lucknow,season,28,4,2.3327903770384997,3.046249199474608,1.2551678680073355,3.1156766875973005
lucknow_lcs,Lucknow,season,29,4,2.285648316778116,2.9659358773690743,1.219377337504005,3.076141310913286
lucknow_lcs,Lucknow,season,30,4,2.2095110108179656,2.8429345581185275,1.1746491031989539,2.975467805273418
