dataset_key,city,network,sample_size,dates_evaluated,n_sensors_available_min,n_sensors_available_median,n_sensors_available_max,best_ape_min_over_days_pct,best_ape_median_over_days_pct,median_ape_median_over_days_pct,p95_ape_median_over_days_pct,worst_ape_median_over_days_pct,worst_ape_max_over_days_pct,best_absolute_error_min_over_days_ugm3,best_absolute_error_median_over_days_ugm3,median_absolute_error_median_over_days_ugm3,p95_absolute_error_median_over_days_ugm3,worst_absolute_error_median_over_days_ugm3,worst_absolute_error_max_over_days_ugm3,date_at_best_ape,date_at_worst_ape,date_at_worst_absolute_error
lucknow_lcs,Lucknow,LCS,2,365,39,56.0,67,1.4165770144287518e-05,0.008431416273308049,10.034746130626324,31.279473714533207,65.3795906898997,462.21706959563494,2.5182732379391837e-06,0.0033594730214865365,4.022048766314427,12.730755126333207,25.21480825820713,747.2690536860352,2022-10-12,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,3,365,39,56.0,67,3.5124578905428797e-06,0.0013483415182129817,8.361620996550165,25.55471931769863,56.01413823098229,313.224188669604,6.73766486158911e-07,0.0005215173801360606,3.3898625801531708,10.103271687810462,21.110899529049775,540.2038916489983,2022-07-08,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,4,365,39,56.0,67,2.13962893319414e-06,0.001055073026994061,7.2590491891339255,21.74065522741114,47.738569724815314,236.6332432640037,7.463060418544387e-07,0.00040188885887459946,2.9273368995818068,8.841373876270726,18.28464156336424,392.83276896381295,2022-10-16,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,5,365,39,56.0,67,6.199707510010135e-06,0.000994658065396265,6.509604362498554,19.278143329970806,41.351273723436414,193.77957512032256,1.19032422851717e-06,0.0004095510147976711,2.6237263943785685,7.825255592916497,16.017292989364925,313.327033758499,2022-04-25,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,6,365,39,56.0,67,2.1719842108670625e-06,0.0008652579308498322,5.970978575689217,17.18568306480997,36.70242211806175,154.54839498622326,2.825682660301254e-06,0.00033343912883054827,2.370829980923144,7.014737669817048,14.174227890751041,261.2006509082575,2022-10-29,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,7,365,39,56.0,67,1.6256320039743525e-07,0.0006265751794737029,5.469189747541499,15.74435785904036,32.947225680445925,139.46149425015085,4.472335746186218e-08,0.0002712100247777016,2.1721376771355168,6.400728161507491,12.819792111958336,230.8541231304797,2022-09-22,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,8,365,39,56.0,67,7.505652027682412e-07,0.0007254156865508611,5.095293288960019,14.56574325300047,29.881538550708864,114.05255454729199,2.448975422453259e-07,0.0002771380165444981,2.0187550266166916,5.851233796768462,11.7243437872514,202.28669031043137,2022-09-28,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,9,365,39,56.0,67,1.4125532120473882e-06,0.0006506002339557099,4.742317204221203,13.512189801397264,27.770790245152604,103.31386071761737,3.8271457825089783e-07,0.0002583885359683791,1.8759075905134601,5.463229271105652,10.617660095875678,184.32534226628212,2023-03-04,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,10,365,39,56.0,67,2.2719325205046877e-06,0.0006425778382925746,4.499974208041619,12.719863903210163,25.861982934125976,92.54724930334078,2.261294987704332e-06,0.0002607383279027431,1.7746097921434032,5.064699819817781,10.07603020469869,162.6687185411077,2022-10-31,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,11,365,39,56.0,67,2.7434693719825053e-06,0.0006218482923701908,4.249944302758385,11.936924323902598,24.04117741936485,80.92930221200855,2.912621770434498e-07,0.00022848474831249632,1.6698211160011667,4.778505427633805,9.225867458247336,152.49496634523592,2022-09-15,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,12,365,39,56.0,67,1.3820016694887258e-06,0.0006169270659022973,4.024686608059737,11.245815615369876,22.733186348847546,75.17391780568384,8.372658264477195e-07,0.00024374077901256896,1.5981560636398324,4.511178694111458,8.825729854414316,132.7732555781447,2022-11-21,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,13,365,39,56.0,67,1.7578036009008418e-06,0.0005535618144412388,3.819265988537199,10.715282342748907,21.392789892966217,70.56475797658044,1.1209695145453225e-06,0.00022663988570670313,1.521168404459388,4.3352001912626275,8.38391036367645,125.5534286860352,2022-04-03,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,14,365,39,56.0,67,2.434224820764133e-07,0.0005262066416077788,3.622040353971826,10.187019324389862,20.023525033277352,61.636074000193396,4.372601125623987e-08,0.00020961779287631543,1.4461167804572383,4.073745297351251,7.988058063840036,114.14054275744559,2022-09-05,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,15,365,39,56.0,67,3.1746960614421456e-06,0.00040480727294375145,3.480256186938422,9.790154926093129,19.198940561277258,57.48927731942379,8.479909059389001e-07,0.00015763030236826125,1.3903292094260742,3.8936901306796585,7.715797942653186,106.12512783330499,2022-12-30,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,16,365,39,56.0,67,4.105600098160205e-06,0.0004997493597565558,3.336906225591815,9.344206877153445,18.217526577713365,54.536336916695525,1.0631921831816271e-06,0.00018375762905975535,1.313236266602452,3.736128868214476,7.29763332433113,99.87902688953761,2023-02-08,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,17,365,39,56.0,67,1.587208516896178e-06,0.0004035863510760314,3.2006962438189213,8.952221824832694,17.250476361015217,49.049729361002804,8.822058319424286e-07,0.0001673738665459723,1.255362003406713,3.5609994796793796,6.957084387798908,93.35359030865527,2022-12-28,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,18,365,39,56.0,67,4.087704264064973e-07,0.00044735801910128465,3.076904903932026,8.61367391056962,16.40035880960381,45.544436906254056,2.6631354899109283e-07,0.00016737942099354086,1.2243240283948094,3.4258897563324906,6.4615039431758206,85.11131007965602,2022-04-12,2023-01-17,2023-01-10
lucknow_lcs,Lucknow,LCS,19,365,39,56.0,67,5.812673400851981e-06,0.0004101790409590838,2.935916765460931,8.254495605651815,15.726713315023098,42.1898663575631,1.2141040386381974e-06,0.00017197132192592335,1.1663088982089285,3.2702035270566214,6.188458430269797,78.97229463080146,2022-08-26,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,20,365,39,56.0,67,7.321957035725968e-07,0.0003993605844075816,2.8493747891909225,7.946387680338779,15.14984337606024,39.738071734168706,3.4787540670322414e-07,0.00015625132878938075,1.1353128453671957,3.1243001584903523,5.796125600259998,75.12975315064699,2023-01-26,2023-01-17,2023-01-19
lucknow_lcs,Lucknow,LCS,21,365,39,56.0,67,1.3432573332326315e-06,0.00038802155817758884,2.72903422876661,7.682108438233196,14.63434290750351,38.83214428187179,6.126874296796814e-07,0.00013071477087578387,1.0896724752703015,3.012999332657967,5.775100558745386,69.76831414779565,2022-06-03,2023-01-17,2023-01-19
