target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
70,anti_cluster,Anti-cluster,23,1.2399123714352056,1.22622183582863,1.2357193522467305,1.245486321454458,1.2610708920694274,1.2416742592959131,0.010903951912969327,20
70,anti_cluster,Anti-cluster,24,1.2057469116615158,1.190129633032254,1.1946290402933861,1.2153159067833617,1.2363145925864547,1.2073485744401293,0.015861402004428135,20
70,anti_cluster,Anti-cluster,25,1.173286888483681,1.152359226463514,1.1622509317146301,1.1843771782112782,1.1950656242421207,1.1725664280996901,0.014912047577941177,20
70,anti_cluster,Anti-cluster,26,1.1360365110959576,1.1183976788124697,1.1269358841460941,1.1459243817061344,1.155659371064776,1.1362719547930171,0.014926689007396259,20
70,anti_cluster,Anti-cluster,27,1.1095393320511142,1.0928114366165476,1.0976640315813277,1.114554935609547,1.1230402374941064,1.1077647714929735,0.01070729112582967,20
70,anti_cluster,Anti-cluster,28,1.0614535523465478,1.0495061816302413,1.0567579263455964,1.0725049082037006,1.080337456014363,1.0635081641860578,0.012977906306247455,20
70,anti_cluster,Anti-cluster,29,1.0362126125540974,1.0257329183522577,1.0302860818067863,1.0466815241534204,1.0618394246249323,1.0387254066685343,0.012724229765185174,20
70,anti_cluster,Anti-cluster,30,1.0043664889532729,0.9909184066232889,0.9989634577780485,1.014616566726667,1.0207330917209003,1.0066266070373702,0.012118508921630088,20
70,circumferential,Circumferential,2,3.958894616311006,3.505221599816095,3.7400389350346974,4.091305362852669,4.575990393706569,3.9596070258737996,0.30299102278730455,20
70,circumferential,Circumferential,3,3.356593728138087,2.9247236364913296,3.20272658497934,3.463037927471885,3.785851630201097,3.3363182418369335,0.2611827746164523,20
70,circumferential,Circumferential,4,2.991044606658005,2.6918575442844936,2.812169346973265,3.0572796592707103,3.36138232219725,2.9817106344795152,0.2155969333601775,20
70,circumferential,Circumferential,5,2.746046638461278,2.39939518385245,2.5882563884927547,2.874267294210685,3.0668083772893078,2.734013058391739,0.21208793160817532,20
70,circumferential,Circumferential,6,2.5616118829953214,2.215074529610905,2.3697869187205938,2.696584410147774,2.8134945164137624,2.531567367388882,0.22095090512838725,20
70,circumferential,Circumferential,7,2.438712559012444,2.065238976700422,2.202618163133959,2.5607988535940165,2.6504525804780688,2.389770073429582,0.21752287275243748,20
70,circumferential,Circumferential,8,2.302997750176165,1.9277882505486472,2.0094321736424336,2.4820727317518663,2.552638831073721,2.2632752724703873,0.23848401417917514,20
70,circumferential,Circumferential,9,2.182199303560873,1.8223759645459483,1.8970103583585383,2.3686929187696713,2.4705444751667542,2.16066456101735,0.24448310904896328,20
70,circumferential,Circumferential,10,2.1055904898579474,1.6902099937558699,1.8198862769781983,2.2869816979770143,2.4260249009816968,2.0656409601447647,0.25513450946927946,20
70,circumferential,Circumferential,11,2.0472104009292096,1.6243775429195997,1.7098413239026593,2.2287107955395773,2.3702858222630567,1.9959484539639951,0.2768687645267576,20
70,circumferential,Circumferential,12,2.0175587309186405,1.5327466553422384,1.6252603163937378,2.188455049132174,2.2935103077250294,1.9291202247905777,0.2892031381704238,20
70,circumferential,Circumferential,13,1.9227020812228979,1.4874559359385626,1.559496736686424,2.1481320823739685,2.2290160518487236,1.8627786417940513,0.28821771044346867,20
70,circumferential,Circumferential,14,1.8571740037549889,1.399398975468274,1.4925573577179483,2.0951944973055485,2.2064961393792553,1.8111850295180756,0.3053211595335738,20
70,circumferential,Circumferential,15,1.796587954078025,1.3255602053805806,1.4370862013914463,2.0347018105051125,2.1534479130537467,1.75600663772332,0.31580401370258737,20
70,circumferential,Circumferential,16,1.721145955148991,1.2907771776745989,1.3787984054075741,1.9953211981133405,2.1189882190475333,1.706253146087942,0.3218024858576999,20
70,circumferential,Circumferential,17,1.6445196970594025,1.2454263175958562,1.3394743989414155,1.9775137293995981,2.022519673769066,1.6618284553042997,0.31705807266330116,20
70,circumferential,Circumferential,18,1.598204341169765,1.1807268945050096,1.3017888436832434,1.9330418348484177,2.0130206645665956,1.6164472214536332,0.32145139896635083,20
70,circumferential,Circumferential,19,1.561950292939848,1.1246954582849693,1.2233770686150556,1.8741121019058227,1.9748740242639868,1.56623974840974,0.32551331084595087,20
70,circumferential,Circumferential,20,1.488012528385813,1.1078469057789242,1.1821794883703345,1.8489121633775514,1.9209920349988454,1.528865985879757,0.32568120213816193,20
70,circumferential,Circumferential,21,1.461912784105379,1.056670558281223,1.1557371043201166,1.7965008854322118,1.8566697956436908,1.484443063216494,0.3242622798291697,20
70,circumferential,Circumferential,22,1.3846753051553784,1.023488687568448,1.0977478957977085,1.774589015184147,1.8195949772600764,1.4415416785530775,0.32669240566498653,20
70,circumferential,Circumferential,23,1.3622934877213637,1.0240047589884607,1.0609109253035083,1.7343791474154067,1.8060411375261394,1.41115053731049,0.32565363030066913,20
70,circumferential,Circumferential,24,1.299164749980379,0.9677596768444024,1.0486836905816035,1.6833692876874111,1.7555957608815795,1.3690030258882753,0.3183598610989662,20
70,circumferential,Circumferential,25,1.293970598082193,0.9356837047841515,1.010081499188257,1.6606035784931932,1.702263626199306,1.3349130081777432,0.31746743331607696,20
70,circumferential,Circumferential,26,1.2253980540958587,0.9230744328115292,0.9819390759944991,1.6192580545748927,1.6938387236840227,1.3044217105354903,0.31394154418274806,20
70,circumferential,Circumferential,27,1.1981633815066426,0.8812826651743345,0.9415546077003887,1.5731321456542937,1.6391089255171387,1.2595644329443485,0.3016823462389891,20
70,circumferential,Circumferential,28,1.1762337879583558,0.8690880586094224,0.9234459729628519,1.513916931632446,1.6096513055243573,1.2325841829973725,0.30041394624837053,20
