target_N_star,selection_strategy,selection_strategy_label,time_index,selected_mean_abs_error_median_vs_full_ugm3,selected_mean_abs_error_p5_vs_full_ugm3,value_p25,value_p75,selected_mean_abs_error_p95_vs_full_ugm3,selected_mean_abs_error_mean_vs_full_ugm3,selected_mean_abs_error_sd_vs_full_ugm3,n_outer_draws,selected_mean_ape_median_vs_full_pct,selected_mean_ape_p5_vs_full_pct,selected_mean_ape_p95_vs_full_pct
50,kmeans_stratified,k-means stratified,2026-03-25,0.10897959183673311,0.006368872549016215,0.030073409363745807,0.17750420168067604,0.31715399759903967,0.1259054975224128,0.10316693709427043,50,0.7796869142202567,0.04556565592798252,2.2690562292715843
50,kmeans_stratified,k-means stratified,2026-03-26,0.1374448979591847,0.01396837788990073,0.0738847993071774,0.2465321955719597,0.3778685255227555,0.16683612127130815,0.1307039246049164,50,0.7362154148264504,0.07482078473163636,2.0240302652063957
50,kmeans_stratified,k-means stratified,2026-03-27,0.1425020408163249,0.02230969391760653,0.08821214179162995,0.23114165223284822,0.4894664345018471,0.17981087727916745,0.14786339933838857,50,2.6235981562705284,0.41074269178106393,9.011542766398353
50,kmeans_stratified,k-means stratified,2026-03-28,0.08765489582816288,0.009955601168507045,0.04557509225092016,0.13482773552224936,0.25315426613449465,0.10400388970266566,0.07384789723163113,50,1.1178261681755872,0.12695961133640501,3.2283703106005492
50,kmeans_stratified,k-means stratified,2026-03-29,0.11570521541950374,0.016709764739227938,0.055866213151927635,0.17033983451536416,0.2724280725623611,0.12451050024123145,0.08540579810240391,50,1.1093382820844924,0.16020696770360543,2.611938354828702
50,kmeans_stratified,k-means stratified,2026-03-30,0.08636734693877557,0.011924489795918624,0.03011458333333561,0.13900108554059942,0.2759005527210881,0.09986379548415152,0.08268702294649169,50,0.8294981457815557,0.11452640987244167,2.649832431051557
50,kmeans_stratified,k-means stratified,2026-03-31,0.07077860061935493,0.004868744123218605,0.03746677962229761,0.12651250066158415,0.20341608285105128,0.08540692449446408,0.06800154267777853,50,0.5005241747758993,0.03443023898670591,1.4384950552035418
50,kmeans_stratified,k-means stratified,2026-04-01,0.10136203703703606,0.011457037037036377,0.053664588057444895,0.2373839758125471,0.524156840513982,0.16437785794696105,0.15467963941976248,50,1.863260054057348,0.2106058646114761,9.635170439932676
50,kmeans_stratified,k-means stratified,2026-04-02,0.1525010470606114,0.012085354477611788,0.05420004366466058,0.2689153798825048,0.4287188547060629,0.17784507176717324,0.1491401612714668,50,1.2064279590709908,0.09560661922065226,3.3915728637110276
50,kmeans_stratified,k-means stratified,2026-04-03,0.04334684014869916,0.00536357651796755,0.02107873470020083,0.07788783333965621,0.14158705291465803,0.0552129823399898,0.04423900523170878,50,0.7453862036782568,0.09223131202069071,2.4347111692573185
50,kmeans_stratified,k-means stratified,2026-04-04,0.11444120370370392,0.011366969009827787,0.03640880574452021,0.2136891203703697,0.36254912037037135,0.14454232745533205,0.13982010144025597,50,1.1849005268930208,0.11769124347724477,3.7537585227054944
50,kmeans_stratified,k-means stratified,2026-04-05,0.07572108843537473,0.008375807823129612,0.03606054421768734,0.13104898049645453,0.26811181972789155,0.10147444058474475,0.08356595226653513,50,1.46566401255645,0.16212286901986472,5.189595839626264
50,kmeans_stratified,k-means stratified,2026-04-06,0.06908163265305989,0.015269259733413733,0.03675516605166207,0.12086400911840722,0.20600470667971887,0.08500509995652453,0.05770802046845773,50,0.9706853212858335,0.21455263462811405,2.8946296896898773
50,kmeans_stratified,k-means stratified,2026-04-07,0.060875000000000234,0.002583333333334093,0.03532312925170111,0.12516874999999938,0.2672004166666661,0.09220544601244772,0.08485994041735724,50,1.3641966086501882,0.057891984761352655,5.9879080451183855
50,kmeans_stratified,k-means stratified,2026-04-08,0.08204081632653004,0.005793032837670965,0.03678241171003682,0.16273055597703578,0.2844682260450629,0.10803750250096016,0.08748382596973349,50,0.8754231377788764,0.06181502343693804,3.03544111569535
50,kmeans_stratified,k-means stratified,2026-04-09,0.07021356497989384,0.010143847583644129,0.042887477714133926,0.12530882125154852,0.23230281908302217,0.08974622379919324,0.06663181878937213,50,0.7276101185595087,0.10511880638874306,2.4073109203771046
50,kmeans_stratified,k-means stratified,2026-04-10,0.0939444356560939,0.013638011152416675,0.055388392382975216,0.18527576435778803,0.2751857426046042,0.11980859598573275,0.08830770526945193,50,0.9597416435883521,0.13932668973191722,2.8113130389781866
50,kmeans_stratified,k-means stratified,2026-04-11,0.16063262805121958,0.014004546818727271,0.06678849039615908,0.2264117647058832,0.38963347839135687,0.16960145744255153,0.11970022014727158,50,1.5672543978941078,0.13663903690329748,3.801561301611267
50,kmeans_stratified,k-means stratified,2026-04-12,0.05286562540859041,0.0030405111524187236,0.02502976367027898,0.10303414163063218,0.18260592781908228,0.07045852147167836,0.0591257472639899,50,0.4757745337023818,0.02736367468611928,1.6433977558751665
50,kmeans_stratified,k-means stratified,2026-04-13,0.03352653061224453,0.003544089191231503,0.020515760441291997,0.06730041572184509,0.13890032407407457,0.049648935331846625,0.04314721154852795,50,0.48240126541748507,0.050994632590408956,1.998587115237047
