target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
50,circumferential,Circumferential,7,0.25107888527592737,0.1718277138355344,0.21915165205980225,0.26727715638618976,0.27836854168347996,0.2399725465451048,0.0368871765524001,20
50,circumferential,Circumferential,8,0.23381476413370228,0.1645153112398771,0.20246514951871353,0.25014982580941947,0.26426448723348783,0.22495987457308103,0.0351429496780162,20
50,circumferential,Circumferential,9,0.22152067957868482,0.1522777694166222,0.19252567981447122,0.23594618000880296,0.24639721583676144,0.21173895039011498,0.03334334443170764,20
50,circumferential,Circumferential,10,0.2092007494599346,0.14280277787425585,0.17919823973085713,0.22379786677497093,0.23296036242724144,0.19920395881900274,0.03236139654926556,20
50,circumferential,Circumferential,11,0.19922785133418985,0.13599978362479895,0.16846720363153733,0.21456474728710395,0.22374670121210394,0.18944819318410996,0.03128383858809554,20
50,circumferential,Circumferential,12,0.1873431342733487,0.13107137909657957,0.16081437390931685,0.20304035382022123,0.21085549637763257,0.179587987973234,0.029876899990617413,20
50,circumferential,Circumferential,13,0.18288546070924427,0.12370003791688075,0.15108684976370035,0.19505193609093263,0.20295386313894143,0.17159145005217952,0.029257207632167086,20
50,circumferential,Circumferential,14,0.17501278940355158,0.11800757836443192,0.1410520443515757,0.18551608038946288,0.19130740050180273,0.16306398448223747,0.027796570623034228,20
50,circumferential,Circumferential,15,0.16609557497035876,0.11143643380798673,0.1373915297121049,0.17689752007525006,0.18564656894461357,0.1560145112585422,0.02644679460713132,20
50,circumferential,Circumferential,16,0.1582950452958669,0.1055129660501593,0.1308298252927247,0.17137236257539956,0.1772559554546623,0.14969377873042272,0.026365373743173718,20
50,circumferential,Circumferential,17,0.15169896488602452,0.10181777209772251,0.12491455533415374,0.1629180673971391,0.17006480445932412,0.1428066496377894,0.02511149747381458,20
50,circumferential,Circumferential,18,0.14601307303459343,0.0991658429106764,0.11954902095547348,0.15646952840157757,0.1630064475479655,0.1373041813288574,0.023896432575740166,20
50,circumferential,Circumferential,19,0.14048408107039867,0.09308509389695341,0.11673691696604571,0.1505333184041162,0.15609435392022766,0.13126159691925224,0.02329998938359802,20
50,circumferential,Circumferential,20,0.13474808402129046,0.08871015070207369,0.11057175786536289,0.14302330041769173,0.1514690117636744,0.12585939006361618,0.022787401314971586,20
50,circumferential,Circumferential,21,0.12986382337502267,0.08660833162430408,0.1073791344016286,0.13669014735224905,0.14617104318761748,0.12133885301545648,0.021308914560609373,20
50,circumferential,Circumferential,22,0.12463425606678902,0.08331012901677348,0.10317768061383825,0.1333653388206748,0.13962651527653752,0.11696059690856342,0.021050490028173705,20
50,circumferential,Circumferential,23,0.11963578286815846,0.07900234606275314,0.09631384650441022,0.1286671843120637,0.1326157635023871,0.11163444185915336,0.020149572554000725,20
50,circumferential,Circumferential,24,0.11662459484970356,0.07705455884985515,0.09382244246539084,0.12364224563963266,0.13010275444055414,0.10787696523379733,0.019637070196838406,20
50,circumferential,Circumferential,25,0.11217697817937422,0.07579243737607659,0.09052969409988743,0.11737942841905458,0.1251199677828419,0.10362329130789853,0.01858274879981616,20
50,circumferential,Circumferential,26,0.10836007845474027,0.07022550445310224,0.08580713909683935,0.1134684423348451,0.11764067621218821,0.0992645163031971,0.017982415900686187,20
50,circumferential,Circumferential,27,0.10276693970764583,0.06907799270706678,0.08341283936149191,0.1095552405005249,0.11301197848316234,0.0952755143555267,0.01671316843538679,20
50,circumferential,Circumferential,28,0.09788241924377328,0.06448396594466081,0.0797104421119128,0.10561292806413825,0.10983836213027369,0.09140937498858306,0.016728813601520627,20
50,circumferential,Circumferential,29,0.09405524223056894,0.06301078705681706,0.07715146658048755,0.1001226418706962,0.10495496404447509,0.08793096409329068,0.015591846712943268,20
50,circumferential,Circumferential,30,0.09010878508675102,0.05950699444906622,0.07367210619055098,0.09699128099174459,0.0995024009373398,0.08439915928234498,0.015184854770631044,20
50,cluster_concentrated,Cluster-concentrated,2,0.3810617987088314,0.3408049106149769,0.3535051677507415,0.39986973050767594,0.42671651397588395,0.37950724659359425,0.03195588660060766,20
50,cluster_concentrated,Cluster-concentrated,3,0.32135458140679907,0.27161328043171123,0.30204499333852675,0.33676053053841604,0.35553797200068027,0.31970146835396723,0.025424240261176075,20
50,cluster_concentrated,Cluster-concentrated,4,0.2806677018803363,0.23215049120282538,0.26348280760640086,0.30256373687173976,0.3067373302252574,0.28060813901034964,0.024904135542042006,20
50,cluster_concentrated,Cluster-concentrated,5,0.25303728751495,0.21265623116992033,0.2349393681664147,0.2685416917662984,0.2792452858703623,0.2522311547804808,0.023284312490137706,20
50,cluster_concentrated,Cluster-concentrated,6,0.23450544583513633,0.19229435531164132,0.21645865515710128,0.24588493072295559,0.26207220421330985,0.2311603511223322,0.023617631702790926,20
50,cluster_concentrated,Cluster-concentrated,7,0.2117864219883021,0.17684640862557752,0.19535842294727535,0.2276799874472224,0.2427504439078945,0.2119923524591023,0.023843336135768778,20
50,cluster_concentrated,Cluster-concentrated,8,0.19820503879061846,0.16473221677236424,0.18499088114507378,0.2104186312846268,0.2371587072892739,0.1985875611256946,0.024995291805917533,20
50,cluster_concentrated,Cluster-concentrated,9,0.1830565283084553,0.15357567859470658,0.16925762422409307,0.1948041416621411,0.22361363430107176,0.18520001666473235,0.02569602286427736,20
50,cluster_concentrated,Cluster-concentrated,10,0.17303288331667233,0.14386873317357063,0.1612664847346641,0.18430023108727855,0.2107742289909206,0.17568758006478422,0.0262464277191514,20
50,cluster_concentrated,Cluster-concentrated,11,0.16362639511579902,0.13815295153098503,0.1511533144221815,0.1735068603735188,0.20709412368336086,0.16669692075880965,0.027976386113896395,20
50,cluster_concentrated,Cluster-concentrated,12,0.15459008691594311,0.12965954694580878,0.14134254470076524,0.1619833744001007,0.19506375998847478,0.15731869238459364,0.028917244125844732,20
50,cluster_concentrated,Cluster-concentrated,13,0.14691351858532053,0.12349269590340754,0.13654694835230607,0.15598719046146203,0.19110471268887813,0.1513468031396598,0.028843310694133005,20
50,cluster_concentrated,Cluster-concentrated,14,0.13882844500442149,0.11741747433447233,0.1290524605679546,0.14902620171369074,0.1786584178113611,0.14395902781314365,0.029322336820436404,20
50,cluster_concentrated,Cluster-concentrated,15,0.13250672790891338,0.11202269133864289,0.12217887711527364,0.1417485507392544,0.1705191355090613,0.13788886419890142,0.029463548467140853,20
50,cluster_concentrated,Cluster-concentrated,16,0.12862880304035684,0.10652104993017422,0.11803126987898027,0.1347639980689077,0.16759427106096544,0.1319562536458653,0.028363483386345364,20
50,cluster_concentrated,Cluster-concentrated,17,0.12270603158000437,0.10137437601030505,0.11286590199662205,0.129334504620221,0.15832821994722637,0.1261833465205004,0.028154076792765128,20
50,cluster_concentrated,Cluster-concentrated,18,0.11762853379503468,0.10082319564547046,0.10712377745036594,0.12365538782774066,0.15395969414791796,0.12093897353264671,0.027611735048544035,20
50,cluster_concentrated,Cluster-concentrated,19,0.11192190564191318,0.09226960180447893,0.10335385836944178,0.11782979681493289,0.1476873375046481,0.1160519965114097,0.027148777694116367,20
50,cluster_concentrated,Cluster-concentrated,20,0.10789378633062618,0.08895674516567893,0.0991605922563985,0.1141478418410582,0.14085882658478038,0.1116530058424686,0.026422447583704243,20
50,cluster_concentrated,Cluster-concentrated,21,0.10307918674095529,0.08676405559712048,0.0957098930281648,0.10952447023786838,0.1360642958718808,0.10730274277484533,0.026019598992455813,20
50,cluster_concentrated,Cluster-concentrated,22,0.09907351098276918,0.0836839288488549,0.09060025726491783,0.10609950149972702,0.12942147858690808,0.10310877040194937,0.024825076046559175,20
50,cluster_concentrated,Cluster-concentrated,23,0.09534249027229169,0.07981578021578288,0.08660225981649039,0.10125401458014704,0.12568228489140348,0.09898325555103593,0.02418583826222123,20
50,cluster_concentrated,Cluster-concentrated,24,0.09200514151194117,0.07708887939172042,0.08385977795905686,0.09686933781684082,0.12233466608996912,0.09500274198614159,0.023588966572102972,20
50,cluster_concentrated,Cluster-concentrated,25,0.08754646917085118,0.07363211654723992,0.08051160518884926,0.09331720820692468,0.11522147995590873,0.09149530633939577,0.02260469684833518,20
50,cluster_concentrated,Cluster-concentrated,26,0.08393457351705669,0.07187611441953985,0.077549773411826,0.08849040787182183,0.1117848846982004,0.08761883426421328,0.02115529008283537,20
50,cluster_concentrated,Cluster-concentrated,27,0.08101238094331453,0.0686881566399081,0.07517044684743501,0.08704544653331348,0.10759815365387734,0.08450743815547379,0.02032651069375688,20
50,cluster_concentrated,Cluster-concentrated,28,0.07767386655910702,0.06604546700359908,0.0712769768028092,0.08212591426036653,0.10289177153881202,0.08095962134727594,0.019948281482356604,20
50,cluster_concentrated,Cluster-concentrated,29,0.075260336911259,0.06252315259749652,0.06875509652882683,0.07890413110602701,0.09999662004891809,0.07776685488420436,0.019012740752319613,20
50,cluster_concentrated,Cluster-concentrated,30,0.07207853037375767,0.06063920176034512,0.06644167466070816,0.07537575273786867,0.09412056779177534,0.0745882716591931,0.01749375062644975,20
50,equidistant,Spatially balanced,2,0.4446542089185508,0.366792735062352,0.41150579111808794,0.45731527159164864,0.5089997662576349,0.43654146492099,0.041622422459348205,50
50,equidistant,Spatially balanced,3,0.37329012524695004,0.32303066039302764,0.3485132915906446,0.39161611906982396,0.42009407760772705,0.37030889915658977,0.035169552126729,50
50,equidistant,Spatially balanced,4,0.3270119758905494,0.28016064094001875,0.31056512439517525,0.34759991010306,0.3824384445428686,0.3296823777760892,0.0344082218144888,50
50,equidistant,Spatially balanced,5,0.3040940227340694,0.24757150978991627,0.276865391275962,0.31713498242382787,0.35606584336606417,0.2999824576599444,0.035244589421644934,50
50,equidistant,Spatially balanced,6,0.27980132112320266,0.22671257506692766,0.25367425707103264,0.2955991173418522,0.33201157894360156,0.27762810471315025,0.035327838990955825,50
50,equidistant,Spatially balanced,7,0.26622426242157804,0.20591307178760868,0.23300654477256755,0.28345312824415836,0.3183894740602682,0.2603742141954385,0.03691048152290777,50
50,equidistant,Spatially balanced,8,0.24607906521920375,0.19346732469563524,0.21888572776467718,0.26961559894445064,0.31420838975951004,0.24617449408054146,0.03839012984479854,50
50,equidistant,Spatially balanced,9,0.23258977609814524,0.18012171688228906,0.20326617873578456,0.26019331566386095,0.30895427429935624,0.23395226442766634,0.040321683079554305,50
50,equidistant,Spatially balanced,10,0.2210702227802961,0.1673383252075266,0.18701553183638175,0.24271746014646656,0.2954183761201237,0.22263460491530965,0.04195205316988435,50
50,equidistant,Spatially balanced,11,0.2095118765877806,0.15869993119906178,0.17724571738420436,0.23366766150883445,0.2878126320590165,0.21287431498078738,0.042692396918066415,50
50,equidistant,Spatially balanced,12,0.19689096303795095,0.14985374907094542,0.166546120007536,0.21928863471940518,0.282524325980392,0.20437800248210988,0.04365527561899876,50
50,equidistant,Spatially balanced,13,0.1907382940108775,0.14321300165045084,0.161985393278943,0.20866287254639215,0.27844582266704954,0.19693240466788223,0.044897267133686386,50
50,equidistant,Spatially balanced,14,0.1801585797902221,0.1361975336242236,0.15062155911484343,0.1990534792682157,0.2684523152247978,0.18925712027524141,0.045268193011087046,50
50,equidistant,Spatially balanced,15,0.17164282303018608,0.13025182683000996,0.14458382244447932,0.18789952850750824,0.2591493151593427,0.18183116738321137,0.04480572865122056,50
50,equidistant,Spatially balanced,16,0.16562002151614408,0.1252724675127043,0.13756276645084609,0.18232507985936497,0.24962348665091674,0.17470134259314182,0.04426600519269219,50
50,equidistant,Spatially balanced,17,0.1589848356379906,0.11688551530241793,0.13258893656679183,0.1739721135811778,0.24488569552631242,0.16802016382860963,0.04428942499282418,50
50,equidistant,Spatially balanced,18,0.1513054283963262,0.11304365013403017,0.12729561246611154,0.16864825984609033,0.23600738147325478,0.16171822971641825,0.04321559964785116,50
50,equidistant,Spatially balanced,19,0.14604019418167535,0.10862879493646256,0.12169699537878631,0.15901099473825697,0.2297392928064334,0.15603322085807575,0.04245974802311267,50
50,equidistant,Spatially balanced,20,0.14083085702005116,0.10304463027625141,0.11744022165593071,0.15232669486150763,0.2222166728083079,0.14998949317945973,0.04134610776829716,50
50,equidistant,Spatially balanced,21,0.1344506704855215,0.09977267019859389,0.11420368124044611,0.14784588908255092,0.21312151945256583,0.14446383194477122,0.03984489507931983,50
50,equidistant,Spatially balanced,22,0.12866873777246113,0.09504871289146219,0.1075386239745939,0.14241902645797788,0.20802942092879903,0.13896142770565484,0.03955180439650197,50
50,equidistant,Spatially balanced,23,0.1232477593703476,0.09038134077317932,0.10242378297662547,0.13571239880392083,0.19659406732926107,0.13331392065466008,0.037618200046557325,50
50,equidistant,Spatially balanced,24,0.11951000008176571,0.08727057080344522,0.09851361924105939,0.12676383009103676,0.19119450280484002,0.12828479155874928,0.03656938139503964,50
50,equidistant,Spatially balanced,25,0.11441686644471316,0.08445900042520801,0.0951194396680668,0.1266755744637733,0.1837574388661827,0.12336109993422334,0.03518708645108487,50
50,equidistant,Spatially balanced,26,0.10957832905475984,0.08165725626883305,0.09179277884769732,0.12037601462862613,0.17545828733130583,0.11821394449947538,0.03322974493241201,50
50,equidistant,Spatially balanced,27,0.10646193750041366,0.0780945552926768,0.08722237236879749,0.11554748285129213,0.16898345150177843,0.11400514791220451,0.03221518934781462,50
50,equidistant,Spatially balanced,28,0.10112824151060185,0.07610759499083701,0.08500738982555411,0.11141048648439122,0.16293590870743793,0.10908497731337183,0.03067127194738414,50
50,equidistant,Spatially balanced,29,0.0974468405716693,0.07152460322802714,0.08112412293355065,0.10665924604816612,0.15435944494144407,0.10448919695766462,0.029275109767507565,50
50,equidistant,Spatially balanced,30,0.09387146993959217,0.06977883234880937,0.07828783195059907,0.10263407965396953,0.14685752880386177,0.09986116599827836,0.027376346899366553,50
50,kmeans_stratified,k-means stratified,2,0.3994717206023459,0.33910289016859246,0.3761012302769937,0.42445555242015187,0.47726731769586317,0.40034655224807525,0.04372793490147872,50
50,kmeans_stratified,k-means stratified,3,0.3367545903613456,0.27519066779845586,0.3091696907733015,0.3558122452837833,0.41065740167053966,0.33672775482481376,0.04029241908625994,50
50,kmeans_stratified,k-means stratified,4,0.29185595293548694,0.24100326589141022,0.2718196308212413,0.3125904067130778,0.36696405696466444,0.295529210486346,0.03867076691843844,50
50,kmeans_stratified,k-means stratified,5,0.263763097605227,0.21541471528607042,0.24071278028467513,0.28696580967334584,0.32865292993127787,0.2671672048059827,0.03869697182091545,50
50,kmeans_stratified,k-means stratified,6,0.23720509057409034,0.19611012789274002,0.2200044666231702,0.265023861620157,0.31057032815218594,0.2451229048678838,0.03941442367940884,50
50,kmeans_stratified,k-means stratified,7,0.21994019481609595,0.18043747909142666,0.20335643332901476,0.2413055017698449,0.3015740869151657,0.22815002123071618,0.04101517810405494,50
50,kmeans_stratified,k-means stratified,8,0.20409862728683859,0.16643173419133334,0.18578343401033415,0.22170235883936407,0.29380183698558554,0.2135380261729255,0.04199979038764251,50
50,kmeans_stratified,k-means stratified,9,0.1908690860825919,0.1562230398346526,0.17450756436640513,0.20684620788414132,0.2871267275104998,0.2020524354627518,0.044200076637412634,50
50,kmeans_stratified,k-means stratified,10,0.1784343751450579,0.14615349970365826,0.1637565777327048,0.1942661939043271,0.27889248882281226,0.19116506603648228,0.044173611428736534,50
50,kmeans_stratified,k-means stratified,11,0.16837719203267687,0.13779393741995874,0.15332076911514814,0.18544031757192347,0.270307482161596,0.1825188059831018,0.045095255538893944,50
50,kmeans_stratified,k-means stratified,12,0.1592773179919429,0.12946464859501522,0.1455173171297628,0.17300433313469288,0.26697055492176813,0.17447577471931652,0.04665161142268301,50
50,kmeans_stratified,k-means stratified,13,0.1521673887760273,0.12477381298498522,0.13703134092017777,0.16646542196467817,0.26004739855613435,0.16671540652933026,0.04647014566719045,50
50,kmeans_stratified,k-means stratified,14,0.14366658734272697,0.11833524426843364,0.13213044048969524,0.15886908470153438,0.2526894390524172,0.16005548221916674,0.04625302283455663,50
50,kmeans_stratified,k-means stratified,15,0.1378730396272556,0.11369169177397201,0.12488892553114472,0.15088592005806856,0.24699497722622987,0.15368786241520208,0.04644600073600138,50
50,kmeans_stratified,k-means stratified,16,0.1314060483758528,0.10760108140924474,0.12073569344032564,0.14215137107092013,0.24206523957798426,0.14729464225334074,0.04613010693699428,50
50,kmeans_stratified,k-means stratified,17,0.12495968527894785,0.10295378095577426,0.11551924611150732,0.13864067916743172,0.23300884757488574,0.14138693868100685,0.045072070825902595,50
50,kmeans_stratified,k-means stratified,18,0.11940142497405848,0.0981503309753419,0.10998761295698589,0.13015610992382642,0.22731609411219886,0.13571045151073663,0.04450389862003404,50
50,kmeans_stratified,k-means stratified,19,0.11580166810217696,0.09537016872128148,0.10528799099709008,0.1256244870236094,0.21743652109235384,0.13095386886829175,0.04280384640095927,50
50,kmeans_stratified,k-means stratified,20,0.11102351137819522,0.09042705008696661,0.10140578993858562,0.1200418596778603,0.21100514956864216,0.1254937978550736,0.04199972879145126,50
50,kmeans_stratified,k-means stratified,21,0.10607577962683212,0.08690730735059446,0.09719392152777395,0.11538685080218913,0.20387936912953256,0.12062586583129935,0.04064899944714779,50
