dataset_key,city,strategy,sample_size,time_aggregation,time_index,n_days_total,n_days_evaluated,ape_mean_pct,ape_median_pct,ape_p75_pct,ape_p95_pct,absolute_error_mean_ugm3,absolute_error_median_ugm3,absolute_error_p75_ugm3,absolute_error_p95_ugm3,median_subset_valid_sensors,min_subset_valid_sensors,reference_mean_ugm3,subset_mean_ugm3,n_reference_valid,n_subset_valid,ape_pct,absolute_error_ugm3,n_draws,daily_p95_ape_median_across_fixed_subsets_pct,daily_p95_absolute_error_median_across_fixed_subsets_ugm3,strategy_label
lucknow_lcs,Lucknow,random_fixed_mc,10,period,study_period,,,,,9.451863451057271,16.082844479617542,,,5.8414635832295545,9.939558567355471,,,61.802242631595966,,71.0,10.0,5.58347524884827,3.4507129205683142,10000.0,,,Fixed random MC median
lucknow_lcs,Lucknow,random_fixed_mc,20,daily,all_days,365.0,365.0,3.7320602747830898,3.3577375473277318,4.259050648805322,6.4240326117048445,1.364926156848783,1.2405108365264397,1.546667834467847,2.3045541549399937,,,,,,,,,10000.0,11.265115973391353,9.802910038660345,Fixed random MC median
lucknow_lcs,Lucknow,random_fixed_mc,20,period,study_period,,,,,6.1383560295468005,10.401416120961304,,,3.793641686971714,6.4283084281984415,,,61.802242631595966,,71.0,20.0,3.6028449074158715,2.226638951321256,10000.0,,,Fixed random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_fixed_mc,5,daily,all_days,273.0,272.0,3.996897715374697,3.300231801860569,4.547242625199228,8.357590886998935,0.35337403517525484,0.2912309338388963,0.3995914220297906,0.7194179178714029,,,,,,,,,10000.0,10.10827326451129,1.1327041977994403,Fixed random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_fixed_mc,5,period,study_period,,,,,4.538094187147211,8.73851731961907,,,0.4653130660106699,0.896003061790879,,,10.253490712654873,,277.0,5.0,2.643134480493999,0.2710135484804308,10000.0,,,Fixed random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_fixed_mc,10,daily,all_days,273.0,272.0,2.9480563403402793,2.427708676229747,3.399923510611837,6.204271395035493,0.2623970105949755,0.21483574801361205,0.29639262942261757,0.5536028951383318,,,,,,,,,10000.0,7.364052862797546,0.8218183574696007,Fixed random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_fixed_mc,10,period,study_period,,,,,3.396334160011096,6.735791727600958,,,0.34824280766746263,0.6906537792133395,,,10.253490712654873,,277.0,10.0,1.921026288141594,0.196972252042257,10000.0,,,Fixed random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_fixed_mc,20,daily,all_days,273.0,272.0,2.112809537038454,1.7628877186848508,2.499315948996971,4.236499785341626,0.18912042061292658,0.15617261048145625,0.22098164102310425,0.38882585756943144,,,,,,,,,10000.0,5.303573009795474,0.5860814740744713,Fixed random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_fixed_mc,20,period,study_period,,,,,2.4825010183524285,4.566470659589466,,,0.2545430113583289,0.46822264497711563,,,10.253490712654873,,277.0,20.0,1.42905849206082,0.14652837976186195,10000.0,,,Fixed random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_srswor_mc,5,daily,all_days,272.0,272.0,3.719062841648019,3.502335967310242,4.258748681813131,5.688611959639388,0.36862727420597163,0.31205498305269946,0.4525650901831182,0.7477869258096492,,,,,,,,,,,,Random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_srswor_mc,10,daily,all_days,272.0,272.0,2.744461201959988,2.6066714385851464,3.1229590953887305,4.111791720240142,0.27044516616546044,0.23246691176470602,0.32850340312704945,0.5444083941605865,,,,,,,,,,,,Random MC median
chicago_lcs_corrected_no_collocation,Chicago,random_srswor_mc,20,daily,all_days,272.0,272.0,2.0061575432237957,1.8793364042564682,2.228661091037761,3.062405618377947,0.19601251922829951,0.1684816176470591,0.23486473880596967,0.38897552875082536,,,,,,,,,,,,Random MC median
dhaka_lcs,Dhaka,random_srswor_mc,5,daily,all_days,365.0,365.0,9.205282833876195,8.795779297295088,10.2121725489777,13.900745611023366,4.809427162867547,3.0656944444444463,7.342138224582239,12.3033191679824,,,,,,,,,,,,Random MC median
dhaka_lcs,Dhaka,random_srswor_mc,10,daily,all_days,365.0,365.0,6.073353953582599,5.752409987636494,6.903796928026959,9.327610204210888,3.2199766606690687,1.9945429816599187,4.882069334650858,8.064670449156424,,,,,,,,,,,,Random MC median
dhaka_lcs,Dhaka,random_srswor_mc,20,daily,all_days,345.0,345.0,3.2936581144152,3.0296837750309837,3.6884265913651895,4.980141940634148,1.7846563648571159,1.1586022851444078,2.789690896739131,4.34606060606062,,,,,,,,,,,,Random MC median
lucknow_lcs,Lucknow,random_srswor_mc,5,daily,all_days,365.0,365.0,6.993896460684618,6.509604362498554,7.931480198815798,10.44779650616918,4.458593594778246,2.6237263943785685,5.72810882069485,13.944984726656655,,,,,,,,,,,,Random MC median
lucknow_lcs,Lucknow,random_srswor_mc,10,daily,all_days,365.0,365.0,5.013491867058347,4.499974208041619,5.4096829119225145,8.020705716440506,3.2433125006489343,1.7746097921434032,3.916947264778891,9.511638153552944,,,,,,,,,,,,Random MC median
lucknow_lcs,Lucknow,random_srswor_mc,20,daily,all_days,365.0,365.0,3.3591400953255692,2.8493747891909225,3.411892674336834,6.45352630529415,2.2470354711487652,1.1353128453671957,2.49098935218894,6.0741364007218115,,,,,,,,,,,,Random MC median
dhaka_lcs,Dhaka,random_srswor_mc,5,period,study_period,,,,,,,,,,,,,55.14721850399361,,35.0,5.0,5.890024117243055,3.248184469873948,,,,Random MC median
